codigo,codigo6,nome,uf,codigo_uf,ultima_aparicao
1200013,120001,Acrelândia,AC,12,2025-09-01
1200054,120005,Assis Brasil,AC,12,2025-09-01
1200104,120010,Brasiléia,AC,12,2025-09-01
1200138,120013,Bujari,AC,12,2025-09-01
1200179,120017,Capixaba,AC,12,2025-09-01
1200203,120020,Cruzeiro do Sul,AC,12,2025-09-01
1200252,120025,Epitaciolândia,AC,12,2025-09-01
1200302,120030,Feijó,AC,12,2025-09-01
1200328,120032,Jordão,AC,12,2025-09-01
1200336,120033,Mâncio Lima,AC,12,2025-09-01
1200344,120034,Manoel Urbano,AC,12,2025-09-01
1200351,120035,Marechal Thaumaturgo,AC,12,2025-09-01
1200385,120038,Plácido de Castro,AC,12,2025-09-01
1200807,120080,Porto Acre,AC,12,2025-09-01
1200393,120039,Porto Walter,AC,12,2025-09-01
1200401,120040,Rio Branco,AC,12,2025-09-01
1200427,120042,Rodrigues Alves,AC,12,2025-09-01
1200435,120043,Santa Rosa do Purus,AC,12,2025-09-01
1200500,120050,Sena Madureira,AC,12,2025-09-01
1200450,120045,Senador Guiomard,AC,12,2025-09-01
1200609,120060,Tarauacá,AC,12,2025-09-01
1200708,120070,Xapuri,AC,12,2025-09-01
2700102,270010,Água Branca,AL,27,2025-09-01
2700201,270020,Anadia,AL,27,2025-09-01
2700300,270030,Arapiraca,AL,27,2025-09-01
2700409,270040,Atalaia,AL,27,2025-09-01
2700508,270050,Barra de Santo Antônio,AL,27,2025-09-01
2700607,270060,Barra de São Miguel,AL,27,2025-09-01
2700706,270070,Batalha,AL,27,2025-09-01
2700805,270080,Belém,AL,27,2025-09-01
2700904,270090,Belo Monte,AL,27,2025-09-01
2701001,270100,Boca da Mata,AL,27,2025-09-01
2701100,270110,Branquinha,AL,27,2025-09-01
2701209,270120,Cacimbinhas,AL,27,2025-09-01
2701308,270130,Cajueiro,AL,27,2025-09-01
2701357,270135,Campestre,AL,27,2025-09-01
2701407,270140,Campo Alegre,AL,27,2025-09-01
2701506,270150,Campo Grande,AL,27,2025-09-01
2701605,270160,Canapi,AL,27,2025-09-01
2701704,270170,Capela,AL,27,2025-09-01
2701803,270180,Carneiros,AL,27,2025-09-01
2701902,270190,Chã Preta,AL,27,2025-09-01
2702009,270200,Coité do Nóia,AL,27,2025-09-01
2702108,270210,Colônia Leopoldina,AL,27,2025-09-01
2702207,270220,Coqueiro Seco,AL,27,2025-09-01
2702306,270230,Coruripe,AL,27,2025-09-01
2702355,270235,Craíbas,AL,27,2025-09-01
2702405,270240,Delmiro Gouveia,AL,27,2025-09-01
2702504,270250,Dois Riachos,AL,27,2025-09-01
2702553,270255,Estrela de Alagoas,AL,27,2025-09-01
2702603,270260,Feira Grande,AL,27,2025-09-01
2702702,270270,Feliz Deserto,AL,27,2025-09-01
2702801,270280,Flexeiras,AL,27,2025-09-01
2702900,270290,Girau do Ponciano,AL,27,2025-09-01
2703007,270300,Ibateguara,AL,27,2025-09-01
2703106,270310,Igaci,AL,27,2025-09-01
2703205,270320,Igreja Nova,AL,27,2025-09-01
2703304,270330,Inhapi,AL,27,2025-09-01
2703403,270340,Jacaré dos Homens,AL,27,2025-09-01
2703502,270350,Jacuípe,AL,27,2025-09-01
2703601,270360,Japaratinga,AL,27,2025-09-01
2703700,270370,Jaramataia,AL,27,2025-09-01
2703759,270375,Jequiá da Praia,AL,27,2025-09-01
2703809,270380,Joaquim Gomes,AL,27,2025-09-01
2703908,270390,Jundiá,AL,27,2025-09-01
2704005,270400,Junqueiro,AL,27,2025-09-01
2704104,270410,Lagoa da Canoa,AL,27,2025-09-01
2704203,270420,Limoeiro de Anadia,AL,27,2025-09-01
2704302,270430,Maceió,AL,27,2025-09-01
2704401,270440,Major Isidoro,AL,27,2025-09-01
2704906,270490,Mar Vermelho,AL,27,2025-09-01
2704500,270450,Maragogi,AL,27,2025-09-01
2704609,270460,Maravilha,AL,27,2025-09-01
2704708,270470,Marechal Deodoro,AL,27,2025-09-01
2704807,270480,Maribondo,AL,27,2025-09-01
2705002,270500,Mata Grande,AL,27,2025-09-01
2705101,270510,Matriz de Camaragibe,AL,27,2025-09-01
2705200,270520,Messias,AL,27,2025-09-01
2705309,270530,Minador do Negrão,AL,27,2025-09-01
2705408,270540,Monteirópolis,AL,27,2025-09-01
2705507,270550,Murici,AL,27,2025-09-01
2705606,270560,Novo Lino,AL,27,2025-09-01
2705705,270570,Olho d'Água das Flores,AL,27,2025-09-01
2705804,270580,Olho d'Água do Casado,AL,27,2025-09-01
2705903,270590,Olho d'Água Grande,AL,27,2025-09-01
2706000,270600,Olivença,AL,27,2025-09-01
2706109,270610,Ouro Branco,AL,27,2025-09-01
2706208,270620,Palestina,AL,27,2025-09-01
2706307,270630,Palmeira dos Índios,AL,27,2025-09-01
2706406,270640,Pão de Açúcar,AL,27,2025-09-01
2706422,270642,Pariconha,AL,27,2025-09-01
2706448,270644,Paripueira,AL,27,2025-09-01
2706505,270650,Passo de Camaragibe,AL,27,2025-09-01
2706604,270660,Paulo Jacinto,AL,27,2025-09-01
2706703,270670,Penedo,AL,27,2025-09-01
2706802,270680,Piaçabuçu,AL,27,2025-09-01
2706901,270690,Pilar,AL,27,2025-09-01
2707008,270700,Pindoba,AL,27,2025-09-01
2707107,270710,Piranhas,AL,27,2025-09-01
