uf,codigo_uf,codigo_municipio,municipio,populacao
AC,12,1200013,Acrelândia,14657
AC,12,1200054,Assis Brasil,8573
AC,12,1200104,Brasiléia,27841
AC,12,1200138,Bujari,13766
AC,12,1200179,Capixaba,10922
AC,12,1200203,Cruzeiro do Sul,98382
AC,12,1200252,Epitaciolândia,19739
AC,12,1200302,Feijó,37644
AC,12,1200328,Jordão,9787
AC,12,1200336,Mâncio Lima,20329
AC,12,1200344,Manoel Urbano,12776
AC,12,1200351,Marechal Thaumaturgo,17951
AC,12,1200385,Plácido de Castro,17127
AC,12,1200807,Porto Acre,17455
AC,12,1200393,Porto Walter,11275
AC,12,1200401,Rio Branco,387852
AC,12,1200427,Rodrigues Alves,15537
AC,12,1200435,Santa Rosa do Purus,7143
AC,12,1200500,Sena Madureira,43916
AC,12,1200450,Senador Guiomard,22352
AC,12,1200609,Tarauacá,46517
AC,12,1200708,Xapuri,19090
AL,27,2700102,Água Branca,19550
AL,27,2700201,Anadia,14193
AL,27,2700300,Arapiraca,243661
AL,27,2700409,Atalaia,38530
AL,27,2700508,Barra de Santo Antônio,16735
AL,27,2700607,Barra de São Miguel,8118
AL,27,2700706,Batalha,17103
AL,27,2700805,Belém,4820
AL,27,2700904,Belo Monte,5898
AL,27,2701001,Boca da Mata,21517
AL,27,2701100,Branquinha,9786
AL,27,2701209,Cacimbinhas,10701
AL,27,2701308,Cajueiro,16605
AL,27,2701357,Campestre,6807
AL,27,2701407,Campo Alegre,32714
AL,27,2701506,Campo Grande,8293
AL,27,2701605,Canapi,15743
AL,27,2701704,Capela,15068
AL,27,2701803,Carneiros,9200
AL,27,2701902,Chã Preta,6010
AL,27,2702009,Coité do Nóia,11036
AL,27,2702108,Colônia Leopoldina,15949
AL,27,2702207,Coqueiro Seco,5700
AL,27,2702306,Coruripe,51788
AL,27,2702355,Craíbas,26115
AL,27,2702405,Delmiro Gouveia,52809
AL,27,2702504,Dois Riachos,9906
AL,27,2702553,Estrela de Alagoas,15701
AL,27,2702603,Feira Grande,23191
AL,27,2702702,Feliz Deserto,4038
AL,27,2702801,Flexeiras,9767
AL,27,2702900,Girau do Ponciano,37335
AL,27,2703007,Ibateguara,13992
AL,27,2703106,Igaci,24452
AL,27,2703205,Igreja Nova,22125
AL,27,2703304,Inhapi,15417
AL,27,2703403,Jacaré dos Homens,5182
AL,27,2703502,Jacuípe,5432
AL,27,2703601,Japaratinga,9443
AL,27,2703700,Jaramataia,5075
AL,27,2703759,Jequiá da Praia,9625
AL,27,2703809,Joaquim Gomes,17386
AL,27,2703908,Jundiá,4176
AL,27,2704005,Junqueiro,24381
AL,27,2704104,Lagoa da Canoa,18831
AL,27,2704203,Limoeiro de Anadia,25197
AL,27,2704302,Maceió,994464
AL,27,2704401,Major Isidoro,17834
AL,27,2704906,Mar Vermelho,3212
AL,27,2704500,Maragogi,33232
AL,27,2704609,Maravilha,9715
AL,27,2704708,Marechal Deodoro,62341
AL,27,2704807,Maribondo,13968
AL,27,2705002,Mata Grande,22147
AL,27,2705101,Matriz de Camaragibe,24330
AL,27,2705200,Messias,15707
AL,27,2705309,Minador do Negrão,4938
AL,27,2705408,Monteirópolis,7341
AL,27,2705507,Murici,25933
AL,27,2705606,Novo Lino,10298
AL,27,2705705,Olho d'Água das Flores,21132
AL,27,2705804,Olho d'Água do Casado,8522
AL,27,2705903,Olho d'Água Grande,4384
AL,27,2706000,Olivença,11048
AL,27,2706109,Ouro Branco,11699
AL,27,2706208,Palestina,4410
AL,27,2706307,Palmeira dos Índios,73596
AL,27,2706406,Pão de Açúcar,24291
AL,27,2706422,Pariconha,10803
