state,state_ibge_code,city_ibge_code,city,estimated_population
AC,12,1200013,Acrelândia,14366
AC,12,1200054,Assis Brasil,6986
AC,12,1200104,Brasiléia,24765
AC,12,1200138,Bujari,9664
AC,12,1200179,Capixaba,11136
AC,12,1200203,Cruzeiro do Sul,82622
AC,12,1200252,Epitaciolândia,17340
AC,12,1200302,Feijó,32360
AC,12,1200328,Jordão,7858
AC,12,1200336,Mâncio Lima,17910
AC,12,1200344,Manoel Urbano,8886
AC,12,1200351,Marechal Thaumaturgo,17897
AC,12,1200385,Plácido de Castro,18510
AC,12,1200807,Porto Acre,17459
AC,12,1200393,Porto Walter,11353
AC,12,1200401,Rio Branco,383443
AC,12,1200427,Rodrigues Alves,17945
AC,12,1200435,Santa Rosa do Purus,6230
AC,12,1200500,Sena Madureira,43139
AC,12,1200450,Senador Guiomard,21552
AC,12,1200609,Tarauacá,40024
AC,12,1200708,Xapuri,18174
AL,27,2700102,Água Branca,20467
AL,27,2700201,Anadia,17818
AL,27,2700300,Arapiraca,234185
AL,27,2700409,Atalaia,47744
AL,27,2700508,Barra de Santo Antônio,16064
AL,27,2700607,Barra de São Miguel,8401
AL,27,2700706,Batalha,18757
AL,27,2700805,Belém,4453
AL,27,2700904,Belo Monte,6797
AL,27,2701001,Boca da Mata,27590
AL,27,2701100,Branquinha,10675
AL,27,2701209,Cacimbinhas,10897
AL,27,2701308,Cajueiro,21526
AL,27,2701357,Campestre,7024
AL,27,2701407,Campo Alegre,57548
AL,27,2701506,Campo Grande,9692
AL,27,2701605,Canapi,17983
AL,27,2701704,Capela,17354
AL,27,2701803,Carneiros,9155
AL,27,2701902,Chã Preta,7427
AL,27,2702009,Coité do Nóia,10888
AL,27,2702108,Colônia Leopoldina,21926
AL,27,2702207,Coqueiro Seco,5918
AL,27,2702306,Coruripe,57498
AL,27,2702355,Craíbas,24510
AL,27,2702405,Delmiro Gouveia,52597
AL,27,2702504,Dois Riachos,11214
AL,27,2702553,Estrela de Alagoas,18435
AL,27,2702603,Feira Grande,22481
AL,27,2702702,Feliz Deserto,4806
AL,27,2702801,Flexeiras,12966
AL,27,2702900,Girau do Ponciano,41279
AL,27,2703007,Ibateguara,15840
AL,27,2703106,Igaci,26022
AL,27,2703205,Igreja Nova,24793
AL,27,2703304,Inhapi,18652
AL,27,2703403,Jacaré dos Homens,5356
AL,27,2703502,Jacuípe,7135
AL,27,2703601,Japaratinga,8453
AL,27,2703700,Jaramataia,5676
AL,27,2703759,Jequiá da Praia,11782
AL,27,2703809,Joaquim Gomes,24280
AL,27,2703908,Jundiá,4231
AL,27,2704005,Junqueiro,25093
AL,27,2704104,Lagoa da Canoa,18175
AL,27,2704203,Limoeiro de Anadia,28953
AL,27,2704302,Maceió,1029129
AL,27,2704401,Major Isidoro,20200
AL,27,2704906,Mar Vermelho,3579
AL,27,2704500,Maragogi,32940
AL,27,2704609,Maravilha,9418
AL,27,2704708,Marechal Deodoro,52260
AL,27,2704807,Maribondo,13514
AL,27,2705002,Mata Grande,25589
AL,27,2705101,Matriz de Camaragibe,25012
AL,27,2705200,Messias,17988
AL,27,2705309,Minador do Negrão,5413
AL,27,2705408,Monteirópolis,7260
AL,27,2705507,Murici,28579
AL,27,2705606,Novo Lino,12821
AL,27,2705903,Olho d'Água Grande,5195
AL,27,2705705,Olho d'Água das Flores,21767
AL,27,2705804,Olho d'Água do Casado,9459
AL,27,2706000,Olivença,11772
AL,27,2706109,Ouro Branco,11635
AL,27,2706208,Palestina,5066
AL,27,2706307,Palmeira dos Índios,74208
AL,27,2706406,Pão de Açúcar,24792
AL,27,2706422,Pariconha,10684
AL,27,2706448,Paripueira,13252
AL,27,2706505,Passo de Camaragibe,15461
AL,27,2706604,Paulo Jacinto,7679
AL,27,2706703,Penedo,64497
AL,27,2706802,Piaçabuçu,18074
AL,27,2706901,Pilar,35552
AL,27,2707008,Pindoba,2953
AL,27,2707107,Piranhas,25298
AL,27,2707206,Poço das Trincheiras,14575
AL,27,2707305,Porto Calvo,27501
AL,27,2707503,Porto Real do Colégio,20327
AL,27,2707404,Porto de Pedras,7965
AL,27,2707602,Quebrangulo,11496
AL,27,2707701,Rio Largo,76019
AL,27,2707800,Roteiro,6774
AL,27,2707909,Santa Luzia do Norte,7386
AL,27,2708006,Santana do Ipanema,48232
AL,27,2708105,Santana do Mundaú,10899
AL,27,2708204,São Brás,7058
AL,27,2708303,São José da Laje,24226
AL,27,2708402,São José da Tapera,32626
AL,27,2708501,São Luís do Quitunde,34961
AL,27,2708600,São Miguel dos Campos,61827
AL,27,2708709,São Miguel dos Milagres,8022
AL,27,2708808,São Sebastião,34551
AL,27,2708907,Satuba,13949
AL,27,2708956,Senador Rui Palmeira,14036
AL,27,2709004,Tanque d'Arca,6270
AL,27,2709103,Taquarana,20205
AL,27,2709152,Teotônio Vilela,44666
AL,27,2709202,Traipu,28070
AL,27,2709301,União dos Palmares,66477
AL,27,2709400,Viçosa,26143
AM,13,1300029,Alvarães,15908
AM,13,1300060,Amaturá,11242
AM,13,1300086,Anamã,12978
AM,13,1300102,Anori,20196
AM,13,1300144,Apuí,21406
AM,13,1300201,Atalaia do Norte,19054
AM,13,1300300,Autazes,38454
AM,13,1300409,Barcelos,27743
AM,13,1300508,Barreirinha,31542
AM,13,1300607,Benjamin Constant,41329
AM,13,1300631,Beruri,18978
AM,13,1300680,Boa Vista do Ramos,18483
AM,13,1300706,Boca do Acre,34176
AM,13,1300805,Borba,40464
AM,13,1300839,Caapiranga,12820
AM,13,1300904,Canutama,15490
AM,13,1301001,Carauari,28337
AM,13,1301100,Careiro,37399
AM,13,1301159,Careiro da Várzea,29190
AM,13,1301209,Coari,84762
AM,13,1301308,Codajás,27817
AM,13,1301407,Eirunepé,34888
AM,13,1301506,Envira,19492
AM,13,1301605,Fonte Boa,19669
AM,13,1301654,Guajará,16339
AM,13,1301704,Humaitá,53383
AM,13,1301803,Ipixuna,28299
AM,13,1301852,Iranduba,47407
AM,13,1301902,Itacoatiara,99854
AM,13,1301951,Itamarati,8128
AM,13,1302009,Itapiranga,9125
AM,13,1302108,Japurá,4205
AM,13,1302207,Juruá,13956
AM,13,1302306,Jutaí,15824
AM,13,1302405,Lábrea,44861
AM,13,1302504,Manacapuru,96460
AM,13,1302553,Manaquiri,30222
AM,13,1302603,Manaus,2130264
AM,13,1302702,Manicoré,54708
AM,13,1302801,Maraã,18531
AM,13,1302900,Maués,62212
AM,13,1303007,Nhamundá,20902
AM,13,1303106,Nova Olinda do Norte,36431
AM,13,1303205,Novo Airão,18586
AM,13,1303304,Novo Aripuanã,25112
AM,13,1303403,Parintins,113832
AM,13,1303502,Pauini,19597
AM,13,1303536,Presidente Figueiredo,34574
AM,13,1303569,Rio Preto da Eva,32001
AM,13,1303601,Santa Isabel do Rio Negro,23765
AM,13,1303700,Santo Antônio do Içá,23075
AM,13,1303809,São Gabriel da Cachoeira,44553
AM,13,1303908,São Paulo de Olivença,38047
AM,13,1303957,São Sebastião do Uatumã,13421
AM,13,1304005,Silves,9211
AM,13,1304062,Tabatinga,63635
AM,13,1304104,Tapauá,17930
AM,13,1304203,Tefé,62021
AM,13,1304237,Tonantins,18782
AM,13,1304260,Uarini,13428
AM,13,1304302,Urucará,16968
AM,13,1304401,Urucurituba,22148
AP,16,1600105,Amapá,8757
AP,16,1600204,Calçoene,10525
AP,16,1600212,Cutias,5637
AP,16,1600238,Ferreira Gomes,7270
AP,16,1600253,Itaubal,5172
AP,16,1600279,Laranjal do Jari,47554
AP,16,1600303,Macapá,474706
AP,16,1600402,Mazagão,20387
AP,16,1600501,Oiapoque,25514
AP,16,1600154,Pedra Branca do Amapari,15125
AP,16,1600535,Porto Grande,20611
AP,16,1600550,Pracuúba,4779
AP,16,1600600,Santana,115471
AP,16,1600055,Serra do Navio,5111
AP,16,1600709,Tartarugalzinho,16112
AP,16,1600808,Vitória do Jari,14991
BA,29,2900108,Abaíra,9199
BA,29,2900207,Abaré,20189
BA,29,2900306,Acajutiba,15727
BA,29,2900355,Adustina,17349
BA,29,2900405,Água Fria,17508
BA,29,2900603,Aiquara,4725
BA,29,2900702,Alagoinhas,155979
BA,29,2900801,Alcobaça,23376
BA,29,2900900,Almadina,5985
BA,29,2901007,Amargosa,38259
BA,29,2901106,Amélia Rodrigues,26409
BA,29,2901155,América Dourada,16798
BA,29,2901205,Anagé,19568
BA,29,2901304,Andaraí,13737
BA,29,2901353,Andorinha,15490
BA,29,2901403,Angical,14690
BA,29,2901502,Anguera,11481
BA,29,2901601,Antas,19569
BA,29,2901700,Antônio Cardoso,12208
BA,29,2901809,Antônio Gonçalves,12072
BA,29,2901908,Aporá,18334
BA,29,2901957,Apuarema,7730
BA,29,2902054,Araças,12608
BA,29,2902005,Aracatu,13962
BA,29,2902104,Araci,55935
BA,29,2902203,Aramari,11703
BA,29,2902252,Arataca,11661
BA,29,2902302,Aratuípe,9171
BA,29,2902401,Aurelino Leal,12706
BA,29,2902500,Baianópolis,14323
BA,29,2902609,Baixa Grande,21403
BA,29,2902658,Banzaê,13765
BA,29,2902708,Barra,54915
BA,29,2902807,Barra da Estiva,22082
BA,29,2902906,Barra do Choça,34121
BA,29,2903003,Barra do Mendes,14560
BA,29,2903102,Barra do Rocha,6258
BA,29,2903201,Barreiras,157638
BA,29,2903235,Barro Alto,15217
BA,29,2903300,Barro Preto,6251
BA,29,2903276,Barrocas,16296
BA,29,2903409,Belmonte,24013
BA,29,2903508,Belo Campo,18247
BA,29,2903607,Biritinga,16653
BA,29,2903706,Boa Nova,14069
BA,29,2903805,Boa Vista do Tupim,19502
BA,29,2903904,Bom Jesus da Lapa,70618
BA,29,2903953,Bom Jesus da Serra,10477
BA,29,2904001,Boninal,14760
BA,29,2904050,Bonito,17131
BA,29,2904100,Boquira,22464
BA,29,2904209,Botuporã,10898
BA,29,2904308,Brejões,15122
BA,29,2904407,Brejolândia,10833
BA,29,2904506,Brotas de Macaúbas,10974
BA,29,2904605,Brumado,69677
BA,29,2904704,Buerarema,19256
BA,29,2904753,Buritirama,21786
BA,29,2904803,Caatiba,7841
BA,29,2904852,Cabaceiras do Paraguaçu,19312
BA,29,2904902,Cachoeira,35139
BA,29,2905008,Caculé,23817
BA,29,2905107,Caém,10058
BA,29,2905156,Caetanos,16106
BA,29,2905206,Caetité,52853
BA,29,2905305,Cafarnaum,19006
BA,29,2905404,Cairu,18224
BA,29,2905503,Caldeirão Grande,13713
BA,29,2905602,Camacan,33310
BA,29,2905701,Camaçari,296893
BA,29,2905800,Camamu,36644
BA,29,2905909,Campo Alegre de Lourdes,30048
BA,29,2906006,Campo Formoso,73448
BA,29,2906105,Canápolis,10151
BA,29,2906204,Canarana,26862
BA,29,2906303,Canavieiras,33002
BA,29,2906402,Candeal,8837
BA,29,2906501,Candeias,89707
BA,29,2906600,Candiba,14792
BA,29,2906709,Cândido Sales,26674
BA,29,2906808,Cansanção,36191
BA,29,2906824,Canudos,17316
BA,29,2906857,Capela do Alto Alegre,12199
BA,29,2906873,Capim Grosso,31392
BA,29,2906899,Caraíbas,9773
BA,29,2906907,Caravelas,22740
BA,29,2907004,Cardeal da Silva,9544
BA,29,2907103,Carinhanha,30118
BA,29,2907202,Casa Nova,73382
BA,29,2907301,Castro Alves,27238
BA,29,2907400,Catolândia,3669
BA,29,2907509,Catu,56459
BA,29,2907558,Caturama,9764
BA,29,2907608,Central,17969
BA,29,2907707,Chorrochó,11591
BA,29,2907806,Cícero Dantas,34676
BA,29,2907905,Cipó,17739
BA,29,2908002,Coaraci,19022
BA,29,2908101,Cocos,19498
BA,29,2908200,Conceição da Feira,23024
BA,29,2908309,Conceição do Almeida,18229
BA,29,2908408,Conceição do Coité,68303
BA,29,2908507,Conceição do Jacuípe,33876
BA,29,2908606,Conde,26371
BA,29,2908705,Condeúba,18191
BA,29,2908804,Contendas do Sincorá,4299
BA,29,2908903,Coração de Maria,23896
BA,29,2909000,Cordeiros,8904
BA,29,2909109,Coribe,14933
BA,29,2909208,Coronel João Sá,16814
BA,29,2909307,Correntina,33361
BA,29,2909406,Cotegipe,14414
BA,29,2909505,Cravolândia,5576
BA,29,2909604,Crisópolis,21835
BA,29,2909703,Cristópolis,14403
BA,29,2909802,Cruz das Almas,64932
BA,29,2909901,Curaçá,35524
BA,29,2910008,Dário Meira,11716
BA,29,2910057,Dias d'Ávila,80657
BA,29,2910107,Dom Basílio,12604
BA,29,2910206,Dom Macedo Costa,4212
BA,29,2910305,Elísio Medrado,8461
BA,29,2910404,Encruzilhada,19376
BA,29,2910503,Entre Rios,43223
BA,29,2900504,Érico Cardoso,11212
BA,29,2910602,Esplanada,37845
BA,29,2910701,Euclides da Cunha,61924
BA,29,2910727,Eunápolis,115290
BA,29,2910750,Fátima,18443
BA,29,2910776,Feira da Mata,5922
BA,29,2910800,Feira de Santana,627477
BA,29,2910859,Filadélfia,17176
BA,29,2910909,Firmino Alves,5822
BA,29,2911006,Floresta Azul,11244
BA,29,2911105,Formosa do Rio Preto,25912
BA,29,2911204,Gandu,33234
BA,29,2911253,Gavião,4725
BA,29,2911303,Gentio do Ouro,11639
BA,29,2911402,Glória,15840
BA,29,2911501,Gongogi,7848
BA,29,2911600,Governador Mangabeira,21495
BA,29,2911659,Guajeru,8081
BA,29,2911709,Guanambi,86808
BA,29,2911808,Guaratinga,22154
BA,29,2911857,Heliópolis,13718
BA,29,2911907,Iaçu,25884
BA,29,2912004,Ibiassucê,10183
BA,29,2912103,Ibicaraí,23529
BA,29,2912202,Ibicoara,19786
BA,29,2912301,Ibicuí,16796
BA,29,2912400,Ibipeba,18678
BA,29,2912509,Ibipitanga,15413
BA,29,2912608,Ibiquera,4214
BA,29,2912707,Ibirapitanga,24293
BA,29,2912806,Ibirapuã,8852
BA,29,2912905,Ibirataia,17221
BA,29,2913002,Ibitiara,16855
BA,29,2913101,Ibititá,17948
BA,29,2913200,Ibotirama,27862
BA,29,2913309,Ichu,6437
BA,29,2913408,Igaporã,16283
BA,29,2913457,Igrapiúna,14187
BA,29,2913507,Iguaí,27939
BA,29,2913606,Ilhéus,176341
BA,29,2913705,Inhambupe,40453
BA,29,2913804,Ipecaetá,15499
BA,29,2913903,Ipiaú,47704
BA,29,2914000,Ipirá,62631
BA,29,2914109,Ipupiara,10157
BA,29,2914208,Irajuba,7521
BA,29,2914307,Iramaia,9901
BA,29,2914406,Iraquara,25536
BA,29,2914505,Irará,29879
BA,29,2914604,Irecê,74483
BA,29,2914653,Itabela,31422
BA,29,2914703,Itaberaba,66806
BA,29,2914802,Itabuna,221046
BA,29,2914901,Itacaré,28382
BA,29,2915007,Itaeté,16586
BA,29,2915106,Itagi,13199
BA,29,2915205,Itagibá,15577
BA,29,2915304,Itagimirim,7291
BA,29,2915353,Itaguaçu da Bahia,14718
BA,29,2915403,Itaju do Colônia,7218
BA,29,2915502,Itajuípe,21642
BA,29,2915601,Itamaraju,67356
BA,29,2915700,Itamari,8476
BA,29,2915809,Itambé,24901
BA,29,2915908,Itanagra,6730
BA,29,2916005,Itanhém,20501
BA,29,2916104,Itaparica,22866
BA,29,2916203,Itapé,9830
BA,29,2916302,Itapebi,10830
BA,29,2916401,Itapetinga,77533
BA,29,2916500,Itapicuru,36211
BA,29,2916609,Itapitanga,10799
BA,29,2916708,Itaquara,8592
BA,29,2916807,Itarantim,20314
BA,29,2916856,Itatim,14957
BA,29,2916906,Itiruçu,13254
BA,29,2917003,Itiúba,37567
BA,29,2917102,Itororó,21241
BA,29,2917201,Ituaçu,19577
BA,29,2917300,Ituberá,29428
BA,29,2917334,Iuiú,11399
BA,29,2917359,Jaborandi,9056
BA,29,2917409,Jacaraci,15459
BA,29,2917508,Jacobina,83635
BA,29,2917607,Jaguaquara,56033
BA,29,2917706,Jaguarari,34499
BA,29,2917805,Jaguaripe,19036
BA,29,2917904,Jandaíra,11120
BA,29,2918001,Jequié,162209
BA,29,2918100,Jeremoabo,41605
BA,29,2918209,Jiquiriçá,15106
BA,29,2918308,Jitaúna,12692
BA,29,2918357,João Dourado,25646
BA,29,2918407,Juazeiro,221773
BA,29,2918456,Jucuruçu,9924
BA,29,2918506,Jussara,16006
BA,29,2918555,Jussari,6275
BA,29,2918605,Jussiape,7066
BA,29,2918704,Lafaiete Coutinho,3975
BA,29,2918753,Lagoa Real,16029
BA,29,2918803,Laje,24306
BA,29,2918902,Lajedão,4068
